uniqueID,drugName,condition,review,rating,date,usefulCount
75612,L-methylfolate,Depression,take antidepressant year improvement mostly moderate severe side affect make go take cymbalta mostly pain begin deplin noticed major improvement overnight energy well disposition sink low low major depression take month feel like normal person first time ever best thing side effect,10,9-Mar-17,54.0
96233,Sertraline,Depression,week zoloft anxiety mood swing take mg morning breakfast nausea day one subside week go get jitter hrs take follow yawn feel much well though less angrystressed,8,7-May-11,3.0
121333,Venlafaxine,Depression,gp start venlafaxine yesterday help depression changea hour take feel sick couldnt stomach food fluid think keep told come side effect would get bettertook another one last night ill couldnt stand sick sweat shake think go pas get sleep hopeing feel well morningtook another one felt space dry mouth shake sick book see gp make sure feeling like find put wrong dose mg put mg right dose hope better,4,27-Apr-16,3.0
156544,Dulaglutide,Diabetes Type 2,hey guy month since last post want give month see go work trulicity six month metformin hit five month period diarrhea gas sulphur belch finally subside longer side effect however still havent lose weight think first start trulicity take glimepiride one side effect weight gain think two med fight lol back metformin trulicity week see diagnose stage chronic kidney disease ckd watch diet closely,10,24-Oct-17,24.0
131909,Effexor XR,Depression,medicine save life wit end antidepressant ready give doctor finally prescribe many fail medication glad honestly know would without effexor xr side effect mild compare antidepressant try drowsy first couple day tolerable highly recommend severe depression would also like mention people realize light end tunnel get better never give,10,20-Jun-13,123.5
171349,Wellbutrin,Depression,start take slept well night awake early around start day happily come drowsy need take already two hr nap awake resume day much difficulty st pm need nap gon na make work appointment go cold turkey felt much better crash try anti depressant include pristique suffer insomnia med know need start confused resume welbutrin,4,13-Jan-17,15.0
102810,Aripiprazole,Depression,intake effexor xr mg lorazepam depression anxiety doctor add abilify take morning make foggy move bertie sleep well overall noticed increase irritability equate feel extremely angry pm daily ive rearrange lorazepam reduce need time im also restlessness almost feel manic shall see increased craving sweet,4,17-Aug-12,33.0
208641,Amlodipine / olmesartan,High Blood Pressure,blood pressure around doctor prescribe azor hr later read show amazed daily thanks azor,10,19-Jan-15,10.0
186257,Desvenlafaxine,Depression,medication amazing day extremely sick start feel amaze month happy time depressive thought kind block sad thought work perfectly,10,10-Mar-13,101.0
156730,Dulaglutide,Diabetes Type 2,recently refer endocrinologist start trulicity jardiance ive tried take byetta past stop make sick lose weight throw day effective weight loss method recommend ive take one dose trulicity mild nausea bad switch coffee green tea morning really help would recommend sugar level drop significantly drop guess one week wont work wonder wait bit dont know trulicity jardiance combo manage lose pound day,9,5-Nov-15,12.0
45238,Fluoxetine,Depression,genius psychiatrist start drug fall first week felt even worse start take fluoxetine many month drug eventually take mg day manic thought amp episode psychiatrist decide bipolar start seroquel rather give break nervous system readjust natural state also end take month dose retrospect wish hadnt take either fluoxetineprozac seroquelquetiapine,1,11-Jan-16,19.0
225257,Bupropion,Depression,really glad experience none possible side effect four week notice mood get better thing happen life dog surgery breakup hair experiment go wrong able deal get worse felt spiral downward anxiety shot way month number two switch lexapro hope help,4,8-Oct-15,0.0
94168,Trintellix,Depression,drug cause persistent nausea user per website people go away weeksbut initially also itchy little weepy go away week history unusually nausea prone ie pregnancy experience may wind persistent nausea group switch dont want chain zofran otherwise work fine alternative paxil fewer side effectsunfortunately one side effect cause pretty debilitate case,5,3-Nov-15,28.0
82188,Liraglutide,Diabetes Type 2,victorza day bad nausea migranes change energy sleep till noon one day young kid full time job search better answer,5,28-Jan-16,18.0
224842,Bupropion,Depression,f wellbutrin sr mg twice day amp feel much well ive tried many different ssnris past year amp make extreme suicidal thought kind give hope find something work new psychiatrist recommend try wellbutrin first week rough blurry vision shake amp extreme light sensitivity negative side effect go away week im month amp mood significantly increase amazing depression worsen significantly winter feel optimistic future sex drive well energy amp focus fibromyalgia well huge ive quit smoking,10,2-Jan-17,14.0
32516,Lisinopril,High Blood Pressure,im year old white male good shape always high blood pressureim guess genetic blood pressure would run anywhere doctor try diuretic nothing beta blocker horrible side effect finally try mg lisinopril wow great almost immediately brought blood pressure actually cut dose mg morning mg lunch blood pressure stay perfect day night side effect whatsoever wouldnt even know take medication werent lower blood pressure highly recommend,10,9-Dec-11,55.0
32822,Empagliflozin,Diabetes Type 2,take jardiance year experience side effect whatsoever importantly drug reduce blood sugar level average maintain level quite incredible nothing else work previously name jardiance quotdiabetic wonder drugquot although doctor keep remind thing wonder drug disagree wonder drug thank jardiance change life completely astonishing result,10,6-Jan-17,47.0
197894,Metoprolol,High Blood Pressure,metoprolol er mg since september th first month great october st rest heart rate go walk suddenly go reason work day week doesnt make sence go back doctor tomorrow figure dont see sudden would make thing x worse didnt take today see would help able exersice without heart rate sky rocket ridiculous number first medication like ever take plus weight gain ridiculous lose lb start medication less month gain back,2,3-Nov-16,19.0
45291,Fluoxetine,Depression,suicidal many month self harm addition extreme anxiety take prozac year earlier didnt work almost eliminate depression feel happier year downside gain lb lowest weight consider healthy someone athletic despite clean eat exercise ive blow lb year nothing seem get weight negative side effect choose mental health body image although also eat disorder bdd,8,1-Feb-16,5.0
178948,Victoza,Diabetes Type 2,ive victoza day lose lb ive also follow low carb diet maintain g carbs daily basis ive also work mildly time week far feel great lot energy side effect nausea first day mild constipation,10,29-Nov-10,6.0
232066,Trazodone,Depression,work far would recommend anyone suffer depression,7,25-Jul-08,99.0
205953,Pristiq,Depression,third week pristiq mg far im feel quite positive free depressive feeling however thats get good night sleep try one temazapam work well third day build system make feel fatigue,6,5-Dec-09,13.0
195947,Levomilnacipran,Depression,severe depression since teen antidepressant many year fortunately beneficial effect several year effective treatment date combination wellbutrin cymbalta take combination ten year unfortunately recently start slip downward increase depression feeling control prescribe fetzima transition cymbalta complete starter pack benefit increase energy dr increase doseage mg mg two week never felt lack well word crazy life irretiable angry depress unreasonable feeling,1,8-Jul-15,41.0
82584,Liraglutide,Diabetes Type 2,victoza less week already huge difference level prior victoza mg metforming mg onglyza follow low carb diet brought level average fast since victoza highest reading far incredible cant wait see next month focus weight loss moment happen awesome im concerned sugar side effect mild nausea thats,10,15-Apr-11,6.0
81720,Liraglutide,Diabetes Type 2,start last night zero appetite possible love food dont really feel like eat ive today grape sandwich lunchbox dont appetite havent side effect far start dose quotpenquot really easy use compare intramuscular testosterone however drug ridiculously expensive even good insurance would pay almost month fortunately another serious illness push outofpocket annual fill script due politics may insurance next year anyway far good victoza,10,6-May-17,13.0
186185,Desvenlafaxine,Depression,take mg pristiq week start take mg couple day ago yrs old antidepressant yrs ive try many ssri lexapro several yr never felt much well remain depressed begin try accept life would finally month ago drs office begin genetic test guide medicine body respond best pristiq think mood lift somewhat im really hop improve even study show full benefit take week,8,2-Jan-14,93.0
183200,Cymbalta,Depression,week seriously notice difference year traumatic event suffer quotsevere depressionquot always pain always tire anything lay bed cry say happy finally happy cant remember time ever like motivate active enjoy life work quick however mild headache everyday multiple nightmare every night tell subside pricey really think worth good luck everyone,8,20-Jun-13,74.0
198429,Exenatide,Diabetes Type 2,bydureon month really noticed loss appetite lose sweet tooth weight come blood sugar level drop really happy medicine know side effect start show nausea happen approx week fourth week take medicine bloat indigestion lot pass wind acidy burp also felt bump itchy feel around injection area whenever injected sort side effect would really fantastic people type diabetes really reluctant stop horrible nausea beat,6,28-May-13,34.0
13891,Bydureon,Diabetes Type 2,within week saw blood glucose half good level ive see year literally major side effect felt sick twice within day two first dose apart ok inject fatty tissue stomach hardly pain well design device needle almost painless would recommend t go max oral med need extra help really magic bullet handle weekly injection daily thats much imho,10,1-Mar-17,13.0
